metodo,n_puntos,d_mean,d_std,d_min,d_max,cv
aleatorio,374,518.8380040732212,259.4241769846873,180.0,1772.7676102636804,0.5000099741114491
clustering,374,887.2622675842027,91.17103611427927,647.5214282168583,1098.0391614145644,0.10275545286346462
cuadrantes,374,481.28839882811343,336.7936754561577,180.0,2758.462796558982,0.6997751790323948
original,10000,180.01,0.099498743710662,180.0,181.0,0.0005527400906097551
sistematico,361,909.4675618763504,30.705741113775474,902.0,1082.0,0.03376232688324311
