metodo,n_puntos,d_mean,d_std,d_min,d_max,cv
aleatorio,242,748.553965428282,374.21159283685364,190.0,2003.3971149025847,0.4999126450726235
clustering,242,1292.4733518064802,99.52070341046178,1019.803902718557,1579.9050604387594,0.07700019754477912
cuadrantes,242,693.7336349624884,511.67785005228603,190.0,3915.763016322617,0.7375710564760977
original,10000,190.1,0.99498743710662,190.0,200.0,0.005234021236752341
sistematico,225,1360.6666666666667,2.494438257849294,1360.0,1370.0,0.001833247127277776
