metodo,n_puntos,d_mean,d_std,d_min,d_max,cv
aleatorio,94,1111.8295236780605,630.3828654764719,415.0,3483.973019413325,0.5669779872287368
clustering,94,1887.9731042917263,164.44566464337012,1495.2330921966648,2195.1339366881466,0.0871016987845608
cuadrantes,94,921.8456518252805,634.3895529161254,180.0,3057.004088973386,0.6881732876431278
original,10000,180.01,0.099498743710662,180.0,181.0,0.0005527400906097551
sistematico,81,2165.222222222222,0.41573970964154905,2165.0,2166.0,0.00019200787123589786
