metodo,n_puntos,d_mean,d_std,d_min,d_max,cv
aleatorio,187,760.8943129911353,372.46313325511636,180.0,2046.3748434732088,0.48950705360240443
clustering,187,1289.9840798113214,121.13780562229589,992.4716620639604,1624.0,0.09390643459725023
cuadrantes,187,700.603190325706,527.2697497076609,180.0,3292.228728384466,0.7525939889918808
original,10000,180.01,0.099498743710662,180.0,181.0,0.0005527400906097551
sistematico,169,1443.170246077198,1.159732508544037,1443.0,1457.7715870464756,0.0008036006227930511
