metodo,n_puntos,d_mean,d_std,d_min,d_max,cv
aleatorio,60,1614.9794949409575,843.4134400875113,463.24939287601876,4309.350299059012,0.5222440549428436
clustering,60,2670.2280529611335,174.93468832508455,2267.6198976018886,3015.3275112332326,0.0655130141903392
cuadrantes,60,1171.4263371239826,805.7586508123609,190.0,3832.75357934736,0.687844062641286
original,10000,190.1,0.99498743710662,190.0,200.0,0.005234021236752341
sistematico,49,3137.1428571428573,66.4861501612577,3110.0,3300.0,0.02119321726451748
