metodo,n_puntos,d_mean,d_std,d_min,d_max,cv
aleatorio,121,1091.2037500467468,596.9869212540422,190.0,3070.6513966909365,0.5470902397727898
clustering,121,1883.1476969993632,147.9005949843956,1531.5351775261317,2273.697429298806,0.07853903080468022
cuadrantes,121,1018.7229331023171,735.6103546279613,190.0,4904.987257883551,0.7220906987808815
original,10000,190.1,0.99498743710662,190.0,200.0,0.005234021236752341
sistematico,121,1906.3636363636363,73.76531918218471,1750.0,1950.0,0.038694254220507006
