metodo,n_puntos,d_mean,d_std,d_min,d_max,cv
aleatorio,175,524.1834676831047,231.2147565279667,200.0,1529.7058540778355,0.4410950951008391
clustering,175,848.0754388852341,114.7521239873912,583.09518948453,1118.033988749895,0.13530886372352546
cuadrantes,175,479.26311172278963,288.0843349220904,200.0,2051.828452868319,0.6010984944919382
original,2500,206.24,24.18806317173824,200.0,300.0,0.11728114416087199
sistematico,169,1015.3846153846154,36.080121229411,1000.0,1100.0,0.035533452725935076
