metodo,n_puntos,d_mean,d_std,d_min,d_max,cv
aleatorio,175,529.0737745931668,227.51864829822892,254.0,1554.341017923673,0.4300319902894076
clustering,175,847.6198052630443,100.64922118843614,578.943866018114,1122.2210121005576,0.11874335706113118
cuadrantes,175,482.42084298257066,281.84458528768283,254.0,2053.7283169883985,0.5842297019033764
original,2500,254.0,0.0,254.0,254.0,0.0
sistematico,169,1020.0,0.0,1020.0,1020.0,0.0
