metodo,n_puntos,d_mean,d_std,d_min,d_max,cv
aleatorio,187,757.2476145909673,339.4689261192664,300.0,2418.677324489565,0.44829316009484294
clustering,187,1193.0156504671897,157.2737998354452,806.2257748298549,1612.4515496597098,0.13182878177151838
cuadrantes,187,703.0851226071488,412.5085320064498,300.0,3140.0636936215164,0.5867120761662601
original,2500,324.0,42.708313008125245,300.0,400.0,0.13181578088927545
sistematico,169,1407.6923076923076,26.646935501059655,1400.0,1500.0,0.018929517022610684
